Source,Target,Type,id,label,timeset,weight
873,872,Directed,1969,,,1.0
873,325,Directed,1970,,,1.0
873,454,Directed,1971,,,1.0
873,874,Directed,1972,,,1.0
873,875,Directed,1973,,,1.0
873,876,Directed,1974,,,1.0
873,877,Directed,1975,,,1.0
873,878,Directed,1976,,,1.0
873,341,Directed,1977,,,1.0
873,940,Directed,1978,,,1.0
873,991,Directed,1979,,,1.0
114,112,Directed,1980,,,1.0
114,113,Directed,1981,,,1.0
114,115,Directed,1982,,,1.0
114,116,Directed,1983,,,1.0
114,117,Directed,1984,,,1.0
114,118,Directed,1985,,,1.0
114,156,Directed,1986,,,1.0
114,47,Directed,1987,,,1.0
114,181,Directed,1988,,,1.0
114,199,Directed,1989,,,1.0
114,200,Directed,1990,,,1.0
114,201,Directed,1991,,,1.0
114,224,Directed,1992,,,1.0
114,197,Directed,1993,,,1.0
114,334,Directed,1994,,,1.0
114,323,Directed,1995,,,1.0
114,473,Directed,1996,,,1.0
114,474,Directed,1997,,,1.0
114,475,Directed,1998,,,1.0
114,476,Directed,1999,,,1.0
114,477,Directed,2000,,,1.0
114,478,Directed,2001,,,1.0
114,479,Directed,2002,,,1.0
114,485,Directed,2003,,,1.0
114,248,Directed,2004,,,1.0
114,784,Directed,2005,,,1.0
114,785,Directed,2006,,,1.0
114,384,Directed,2007,,,1.0
114,155,Directed,2008,,,1.0
114,794,Directed,2009,,,1.0
114,795,Directed,2010,,,1.0
114,137,Directed,2011,,,1.0
114,912,Directed,2012,,,1.0
114,968,Directed,2013,,,1.0
114,1050,Directed,2014,,,1.0
114,1065,Directed,2015,,,1.0
114,1066,Directed,2016,,,1.0
114,1067,Directed,2017,,,1.0
114,1068,Directed,2018,,,1.0
114,1069,Directed,2019,,,1.0
114,1070,Directed,2020,,,1.0
114,59,Directed,2021,,,1.0
114,634,Directed,2022,,,1.0
114,1132,Directed,2023,,,1.0
114,692,Directed,2024,,,1.0
114,1152,Directed,2025,,,1.0
114,1153,Directed,2026,,,1.0
114,1306,Directed,2027,,,1.0
